period,channel,studio,xlsx_file,paired_pdf_present,line_count,declared_total_eur,computed_total_eur,difference_eur,validation,parser_family,notes
2026-01,Canal Orange,FILTHY KINGS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_FILTHY KINGS NMG_CanalPlay_2026_01.xlsx,yes,8,48.83,48.830,0.000,passed,xlsx_hpg_canal,
2026-01,Canal Orange,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_GROOBY NMG_CanalPlay_2026_01.xlsx,yes,15,107.6,107.600,0.000,passed,xlsx_hpg_canal,
2026-01,Canal Orange,MATURE XXX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_MATURE XXX NMG_CanalPlay_2026_01.xlsx,yes,16,223.455,223.455,0.000,passed,xlsx_hpg_canal,
2026-01,Canal Orange,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_NUBILE FILMS NMG_CanalPlay_2026_01.xlsx,yes,16,131.87,131.870,0.000,passed,xlsx_hpg_canal,
2026-01,Canal Orange,PORNSTAR PLATINIUM,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.xlsx,yes,5,33.075,33.075,0.000,passed,xlsx_hpg_canal,
2026-01,Canal Orange,PURE PASSION,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_PURE PASSION NMG_CanalPlay_2026_01.xlsx,yes,6,43.93,43.930,0.000,passed,xlsx_hpg_canal,
2026-01,Canal Orange,RAW ATTACK,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_RAW ATTACK NMG_CanalPlay_2026_01.xlsx,yes,4,8.38,8.38,0.00,passed,xlsx_hpg_canal,
2026-01,Canal Orange,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_TEAM SKEET NMG_CanalPlay_2026_01.xlsx,yes,7,54.66,54.66,0.00,passed,xlsx_hpg_canal,
2026-01,Canal Orange,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/canal-orange/report_TRUEX NMG_CanalPlay_2026_01.xlsx,yes,3,7.015,7.015,0.000,passed,xlsx_hpg_canal,
2026-01,Netgem,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/netgem/report_CRAVE NMG_Netgem_2026_01.xlsx,yes,3,30.995,30.995,0.000,passed,xlsx_hpg_netgem,
2026-01,Netgem,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/netgem/report_GROOBY NMG_Netgem_2026_01.xlsx,yes,3,10.965,10.965,0.000,passed,xlsx_hpg_netgem,
2026-01,Netgem,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/netgem/report_NUBILE FILMS NMG_Netgem_2026_01.xlsx,yes,1,1.915,1.915,0.000,passed,xlsx_hpg_netgem,
2026-01,Netgem,RAW ATTACK,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/netgem/report_RAW ATTACK NMG_Netgem_2026_01.xlsx,yes,5,15.665,15.665,0.000,passed,xlsx_hpg_netgem,
2026-01,Netgem,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/netgem/report_TEAM SKEET NMG_Netgem_2026_01.xlsx,yes,3,28.395,28.395,0.000,passed,xlsx_hpg_netgem,
2026-01,Netgem,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/netgem/report_TRUEX NMG_Netgem_2026_01.xlsx,yes,2,2.65,2.65,0.00,passed,xlsx_hpg_netgem,
2026-01,Proximus,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_CRAVE NMG_Proximus_2026_01.xlsx,yes,2,37.065,37.065,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,FILTHY KINGS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_FILTHY KINGS NMG_Proximus_2026_01.xlsx,yes,4,5.12,5.120,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_GROOBY NMG_Proximus_2026_01.xlsx,yes,8,38.48,38.480,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,MATURE XXX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_MATURE XXX NMG_Proximus_2026_01.xlsx,yes,6,43.86,43.860,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,MYLF,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_MYLF NMG_Proximus_2026_01.xlsx,yes,3,44.48,44.48,0.00,passed,xlsx_hpg_proximus,
2026-01,Proximus,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_NUBILE FILMS NMG_Proximus_2026_01.xlsx,yes,8,29.03,29.030,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,PORNSTAR PLATINIUM,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_PORNSTAR PLATINIUM NMG_Proximus_2026_01.xlsx,yes,4,59.835,59.835,0.000,passed,xlsx_hpg_proximus,
