workspace_path,file_name,vendor_id,vendor,period_hint,parser_family,processing_role,authoritative,expected_status,manifest_notes,sha256,actual_sha256,hash_match,classified_parser_family,classification_status,report_id,report_status,review_required,validation_status,expected_export,posting_count,ready_posting_count,airtable_exact_rows,airtable_context_rows,airtable_weak_amount_only_rows,airtable_missing_rows,comparison_status,notes
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,yes,xlsx_1979_dorcel,matched_manifest,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,false,passed,yes,8,8,8,0,0,0,all_exact_match,All parser postings match Airtable exactly.
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\aecash_item_report.xlsx,aecash_item_report.xlsx,aerona,AERONA LLC,April 2026,xlsx_aerona_rollup,primary_source,yes,reviewed,Accounting source. Includes Unlimited revenue omitted from the four raw platform files.,03727cc30148bf4063f95e7aebdd4559e0d5bf88ce9e08797b999764550afa3a,03727cc30148bf4063f95e7aebdd4559e0d5bf88ce9e08797b999764550afa3a,yes,xlsx_aerona_rollup,matched_manifest,aerona_april_2026_aecash_item_report_03727cc3,ready,true,warning,yes,32,28,28,0,0,0,partial_match,"AERONA BAEB total does not match the two NMG Airtable split rows; allocation policy is needed.; AERONA Carnal Network must be split between Carnal Media CP1 and JSE CP2, but the workbook only provides a single source studio.; AERONA JayRock must be split between Jay Rock Productions and Jayrock Media Inc., but the title allocation policy is not in the workbook.; AERONA TrueX must be split between TX and TX2, but the title allocation policy is not in the workbook."
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\BAEB.xlsx,BAEB.xlsx,aerona,AERONA LLC,April 2026,xlsx_aerona_raw_platform,supporting_transaction_detail,no,reviewed,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.,156fd4271f72735cc4cab34de88ac6f6b731178a6b4dea470acfaae596385429,156fd4271f72735cc4cab34de88ac6f6b731178a6b4dea470acfaae596385429,yes,xlsx_aerona_raw_platform,matched_manifest,aerona_april_2026_baeb_156fd427,review,true,failed,no,0,0,0,0,0,0,not_expected_to_export,Not authoritative for Airtable export. Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\Carnal Network.xlsx,Carnal Network.xlsx,aerona,AERONA LLC,April 2026,xlsx_aerona_raw_platform,supporting_transaction_detail,no,reviewed,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.,c108035d8b74b689d6620df15be93d4b66bb0959bdd2eca33f78a024938a1a02,c108035d8b74b689d6620df15be93d4b66bb0959bdd2eca33f78a024938a1a02,yes,xlsx_aerona_raw_platform,matched_manifest,aerona_april_2026_carnal_network_c108035d,review,true,failed,no,0,0,0,0,0,0,not_expected_to_export,Not authoritative for Airtable export. Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\Jay Rock Productions.xlsx,Jay Rock Productions.xlsx,aerona,AERONA LLC,April 2026,xlsx_aerona_raw_platform,supporting_transaction_detail,no,reviewed,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.,1416f14299c27574699c1369414360d21bf9788a1956465782b242f94509b963,1416f14299c27574699c1369414360d21bf9788a1956465782b242f94509b963,yes,xlsx_aerona_raw_platform,matched_manifest,aerona_april_2026_jay_rock_productions_1416f142,review,true,failed,no,0,0,0,0,0,0,not_expected_to_export,Not authoritative for Airtable export. Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\TRUE X.xlsx,TRUE X.xlsx,aerona,AERONA LLC,April 2026,xlsx_aerona_raw_platform,supporting_transaction_detail,no,reviewed,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.,c7dd2155b0593558a2ec436c400d16c64e06b0ce6771a4cafdebc959a98c79ee,c7dd2155b0593558a2ec436c400d16c64e06b0ce6771a4cafdebc959a98c79ee,yes,xlsx_aerona_raw_platform,matched_manifest,aerona_april_2026_true_x_c7dd2155,review,true,failed,no,0,0,0,0,0,0,not_expected_to_export,Not authoritative for Airtable export. Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Accounting Project\Sample Reports\All Media Group (AMG) - Licensing - Emailed\April 2026\NMG_Payout Report 05062026.xlsx,NMG_Payout Report 05062026.xlsx,amg,All Media Group (AMG),April 2026,xlsx_amg_mixed,primary_source,yes,review_required,Yellow flat fee rows are manual and must not be included in automated revenue share postings.,0d42d4ac0d3d084d5cb4b79e8b544603089b3356ec8bf51435979c1527dc092b,0d42d4ac0d3d084d5cb4b79e8b544603089b3356ec8bf51435979c1527dc092b,yes,xlsx_amg_mixed,matched_manifest,amg_april_2026_nmg_payout_report_05062026_0d42d4ac,review,true,warning,yes,1,0,0,0,0,0,review_not_exportable,Manual revenue share row detected on row 17.
Accounting Project\Sample Reports\AV Entertainment-Optical Extreme - VOD - Emailed\April 2026\2026-04_NMG.xlsx,2026-04_NMG.xlsx,av_entertainment,AV Entertainment/Optical Xtreme,April 2026,xlsx_av_royalty_header,primary_source,yes,reviewed,,1fe932291b0a38abfe8f6985804a64c06d5259fb963143c2bb846688e769bff4,1fe932291b0a38abfe8f6985804a64c06d5259fb963143c2bb846688e769bff4,yes,xlsx_av_royalty_header,matched_manifest,av_entertainment_april_2026_2026_04_nmg_1fe93229,ready,false,passed,yes,20,20,0,0,19,20,weak_amount_only_match,
Accounting Project\Sample Reports\Dream Logistics BV - VOD - Emailed\March 2026\NMG-DL-2026-04A.pdf,NMG-DL-2026-04A.pdf,dream_logistics,Dream Logistics BV,March 2026,pdf_invoice_lines,primary_source,yes,reviewed,,924e54a7a9a4d4ec4b022d920fe415b0788bcf239e78d5cb021b7569ba2394f3,924e54a7a9a4d4ec4b022d920fe415b0788bcf239e78d5cb021b7569ba2394f3,yes,pdf_invoice_lines,matched_manifest,dream_logistics_march_2026_nmg_dl_2026_04a_924e54a7,ready,false,passed,yes,4,4,4,0,0,0,all_exact_match,All parser postings match Airtable exactly.
Accounting Project\Sample Reports\Dusk T.V.-2GrapesMedia B.V. - Licensing - Emailed\April 2026\Playlist NAT & INT April 2026 NMG.pdf,Playlist NAT & INT April 2026 NMG.pdf,dusk,Dusk TV / 2GrapesMedia B.V.,April 2026,pdf_verification_copy,verification_copy,no,reviewed,Paired PDF used to verify the spreadsheet total.,9a071f4fa625ec8d5d7fdb34cb30a949589af7cf46fdd8e3a626349a517e49ec,9a071f4fa625ec8d5d7fdb34cb30a949589af7cf46fdd8e3a626349a517e49ec,yes,pdf_verification_copy,matched_manifest,dusk_april_2026_playlist_nat_&_int_april_2026_nmg_9a071f4f,review,true,failed,no,0,0,0,0,0,0,not_expected_to_export,Not authoritative for Airtable export. Paired PDF used to verify the spreadsheet total.
