workspace_path,file_name,vendor_id,vendor,parser_family,processing_role,expected_action,sha256,hash_match,parser_function,classified_parser_family,classification_status,classifier_confidence,mapping_match,report_status,review_required,validation_status,record_count,posting_count,line_item_count,normalized_total,currency,schema_failed_count,failed_checks,error
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),xlsx_1979_dorcel,primary_source,,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,yes,parse1979Dorcel,xlsx_1979_dorcel,matched_manifest,1.0,yes,ready,false,passed,7560,8,7552,20698.68268,EUR,0,,
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\aecash_item_report.xlsx,aecash_item_report.xlsx,aerona,AERONA LLC,xlsx_aerona_rollup,primary_source,,03727cc30148bf4063f95e7aebdd4559e0d5bf88ce9e08797b999764550afa3a,yes,parseAeronaRollup,xlsx_aerona_rollup,matched_manifest,1.0,yes,ready,true,warning,6422,32,6390,81318.5224,USD,0,,
Accounting Project\Sample Reports\All Media Group (AMG) - Licensing - Emailed\April 2026\NMG_Payout Report 05062026.xlsx,NMG_Payout Report 05062026.xlsx,amg,All Media Group (AMG),xlsx_amg_mixed,primary_source,,0d42d4ac0d3d084d5cb4b79e8b544603089b3356ec8bf51435979c1527dc092b,yes,parseAmgWorkbook,xlsx_amg_mixed,matched_manifest,1.0,yes,review,true,warning,13,1,12,4219.545,USD,0,,
Accounting Project\Sample Reports\AV Entertainment-Optical Extreme - VOD - Emailed\April 2026\2026-04_NMG.xlsx,2026-04_NMG.xlsx,av_entertainment,AV Entertainment/Optical Xtreme,xlsx_av_royalty_header,primary_source,,1fe932291b0a38abfe8f6985804a64c06d5259fb963143c2bb846688e769bff4,yes,parseAvWorkbook,xlsx_av_royalty_header,matched_manifest,1.0,yes,ready,false,passed,421,20,401,907.45,USD,0,,
Accounting Project\Sample Reports\Dream Logistics BV - VOD - Emailed\March 2026\NMG-DL-2026-04A.pdf,NMG-DL-2026-04A.pdf,dream_logistics,Dream Logistics BV,pdf_invoice_lines,primary_source,,924e54a7a9a4d4ec4b022d920fe415b0788bcf239e78d5cb021b7569ba2394f3,yes,parseKnownDocumentSample,pdf_invoice_lines,matched_manifest,1.0,yes,ready,false,passed,8,4,4,1417.5,USD,0,,
Accounting Project\Sample Reports\Dusk T.V.-2GrapesMedia B.V. - Licensing - Emailed\April 2026\Playlist NAT & INT April 2026 NMG.xlsx,Playlist NAT & INT April 2026 NMG.xlsx,dusk,Dusk TV / 2GrapesMedia B.V.,xlsx_dusk_playlist,primary_source,,097931700a390447de47aaabf8ea366a507954f7368b804a37e1e4c0d878555a,yes,parseDuskWorkbook,xlsx_dusk_playlist,matched_manifest,1.0,yes,ready,false,passed,65,2,63,173.109184,EUR,0,,
Accounting Project\Sample Reports\Erigo-Load - DVD - Emailed\April 2026\Erigo.pdf,Erigo.pdf,erigo,Erigo / Load,pdf_payment_narrative,primary_source,,0d45120a2d94fa9a5e12a7ee4aba98364b39ecd8473a5b9f391f1f17c38a0f49,yes,parseKnownDocumentSample,pdf_payment_narrative,matched_manifest,1.0,yes,review,true,warning,4,2,2,461.85,USD,0,,
Accounting Project\Sample Reports\Erika Lust - Licensing For this customer for SARJ make sure to use SARJ MetArt - Emailed\March 2026\nmg q1 2026.xlsx,nmg q1 2026.xlsx,erika_lust,Erika Lust / Lust Productions,xlsx_erika_summary,primary_source,,e0400189d34caadc32707646f925faff45dc449b78312182af47ea025fc596e1,yes,parseProducerPivotWorkbook,xlsx_erika_summary,matched_manifest,1.0,yes,ready,false,warning,21,7,14,13235.86171,EUR,0,,
Accounting Project\Sample Reports\Gamma Broadcast Group Inc. - Licensing - Emailed\January 2026 - Process with April 2026\EENT Inc (EENINC) Jan 2026 USD 1 861.99.xlsx,EENT Inc (EENINC) Jan 2026 USD 1 861.99.xlsx,gamma_licensing,Gamma Broadcast Group Inc. Licensing,xlsx_gamma_running_balance,primary_source,,3c36bbb24d7a4bf15f651078517e1b026ac4c0d78326a3e934a32cfb87a09ce3,yes,parseGammaWorkbook,xlsx_gamma_running_balance,matched_manifest,1.0,yes,ready,false,passed,7,1,6,1861.987866,USD,0,,
Accounting Project\Sample Reports\Gamma Broadcast Group Inc._Adult Time - VOD - Emailed\April 2026\AdultTimeContentRoyalties_exxxtrasmall-channel_20260401.pdf,AdultTimeContentRoyalties_exxxtrasmall-channel_20260401.pdf,gamma_adult_time,Gamma Broadcast Group Inc. Adult Time,pdf_adulttime_scene,primary_source,,a0a2141109c4b35919bf676480c66dcf60e2534f5ef0a789c8b9bbae9873627f,yes,parseKnownDocumentSample,pdf_adulttime_scene,matched_manifest,1.0,yes,review,true,warning,2,1,1,556.16,USD,0,,
