workspace_path,file_name,sha256,expected_parser_family,classified_parser_family,parser_function,classification_status,classifier_confidence,hash_match,mapping_match,error
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,xlsx_1979_dorcel,xlsx_1979_dorcel,parse1979Dorcel,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\aecash_item_report.xlsx,aecash_item_report.xlsx,03727cc30148bf4063f95e7aebdd4559e0d5bf88ce9e08797b999764550afa3a,xlsx_aerona_rollup,xlsx_aerona_rollup,parseAeronaRollup,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\All Media Group (AMG) - Licensing - Emailed\April 2026\NMG_Payout Report 05062026.xlsx,NMG_Payout Report 05062026.xlsx,0d42d4ac0d3d084d5cb4b79e8b544603089b3356ec8bf51435979c1527dc092b,xlsx_amg_mixed,xlsx_amg_mixed,parseAmgWorkbook,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\AV Entertainment-Optical Extreme - VOD - Emailed\April 2026\2026-04_NMG.xlsx,2026-04_NMG.xlsx,1fe932291b0a38abfe8f6985804a64c06d5259fb963143c2bb846688e769bff4,xlsx_av_royalty_header,xlsx_av_royalty_header,parseAvWorkbook,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\Dream Logistics BV - VOD - Emailed\March 2026\NMG-DL-2026-04A.pdf,NMG-DL-2026-04A.pdf,924e54a7a9a4d4ec4b022d920fe415b0788bcf239e78d5cb021b7569ba2394f3,pdf_invoice_lines,pdf_invoice_lines,parseKnownDocumentSample,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\Dusk T.V.-2GrapesMedia B.V. - Licensing - Emailed\April 2026\Playlist NAT & INT April 2026 NMG.xlsx,Playlist NAT & INT April 2026 NMG.xlsx,097931700a390447de47aaabf8ea366a507954f7368b804a37e1e4c0d878555a,xlsx_dusk_playlist,xlsx_dusk_playlist,parseDuskWorkbook,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\Erigo-Load - DVD - Emailed\April 2026\Erigo.pdf,Erigo.pdf,0d45120a2d94fa9a5e12a7ee4aba98364b39ecd8473a5b9f391f1f17c38a0f49,pdf_payment_narrative,pdf_payment_narrative,parseKnownDocumentSample,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\Erika Lust - Licensing For this customer for SARJ make sure to use SARJ MetArt - Emailed\March 2026\nmg q1 2026.xlsx,nmg q1 2026.xlsx,e0400189d34caadc32707646f925faff45dc449b78312182af47ea025fc596e1,xlsx_erika_summary,xlsx_erika_summary,parseProducerPivotWorkbook,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\Gamma Broadcast Group Inc. - Licensing - Emailed\January 2026 - Process with April 2026\EENT Inc (EENINC) Jan 2026 USD 1 861.99.xlsx,EENT Inc (EENINC) Jan 2026 USD 1 861.99.xlsx,3c36bbb24d7a4bf15f651078517e1b026ac4c0d78326a3e934a32cfb87a09ce3,xlsx_gamma_running_balance,xlsx_gamma_running_balance,parseGammaWorkbook,matched_manifest,1.0,yes,yes,
Accounting Project\Sample Reports\Gamma Broadcast Group Inc._Adult Time - VOD - Emailed\April 2026\AdultTimeContentRoyalties_exxxtrasmall-channel_20260401.pdf,AdultTimeContentRoyalties_exxxtrasmall-channel_20260401.pdf,a0a2141109c4b35919bf676480c66dcf60e2534f5ef0a789c8b9bbae9873627f,pdf_adulttime_scene,pdf_adulttime_scene,parseKnownDocumentSample,matched_manifest,1.0,yes,yes,
